"meta"	"trans"
"1"	"SRR8265535"	"SRR8265549"
"2"	"SRR8265537"	"SRR8265622"
"3"	"SRR8265543"	"SRR8265657"
"4"	"SRR8265545"	"SRR8265655"
"5"	"SRR8265547"	"SRR8265632"
"6"	"SRR8265551"	"SRR8265651"
"7"	"SRR8265564"	"SRR8265653"
"8"	"SRR8265565"	"SRR8265597"
"9"	"SRR8265567"	"SRR8265599"
"10"	"SRR8265569"	"SRR8265593"
"11"	"SRR8265571"	"SRR8265595"
"12"	"SRR8265536"	"SRR8265548"
"13"	"SRR8265538"	"SRR8265550"
"14"	"SRR8265544"	"SRR8265656"
"15"	"SRR8265546"	"SRR8265631"
"16"	"SRR8265552"	"SRR8265658"
"17"	"SRR8265563"	"SRR8265652"
"18"	"SRR8265566"	"SRR8265600"
"19"	"SRR8265568"	"SRR8265594"
